Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,Danny Manning,PF,34,UTA,5,0,96,19,34,0.559,2,2,1,17,32,0.531,0.588,9,12,0.75,2,9,11,3,3,4,7,21,49
2001,Shawn Marion,SF,22,PHO,4,4,139,23,62,0.371,1,1,1,22,61,0.361,0.379,12,14,0.857,10,23,33,3,6,6,6,13,59
2001,Donyell Marshall,SF,27,UTA,5,5,160,22,54,0.407,1,8,0.125,21,46,0.457,0.417,7,9,0.778,13,25,38,8,2,5,9,19,52
2001,Darrick Martin,PG,29,SAC,2,0,9,0,6,0,0,2,0,0,4,0,0,0,0,,0,0,0,3,0,0,1,1,0
2001,Jamal Mashburn,SF,28,CHH,10,10,419,84,208,0.404,7,21,0.333,77,187,0.412,0.421,74,88,0.841,18,44,62,57,12,3,30,24,249
2001,Anthony Mason,PF,34,MIA,3,3,98,5,13,0.385,0,1,0,5,12,0.417,0.385,6,6,1,1,8,9,4,1,0,7,6,16
2001,Vernon Maxwell,PG,35,DAL,4,0,43,2,10,0.2,0,5,0,2,5,0.4,0.2,0,0,,1,5,6,5,0,0,2,6,4
2001,Tracy McGrady*,SG,21,ORL,4,4,178,51,123,0.415,2,10,0.2,49,113,0.434,0.423,31,38,0.816,6,20,26,33,7,5,8,11,135
2001,Derrick McKey,SF,34,IND,4,0,35,2,5,0.4,1,1,1,1,4,0.25,0.5,1,2,0.5,4,5,9,4,1,0,1,7,6
2001,Aaron McKie,SG,28,PHI,23,16,892,125,301,0.415,27,64,0.422,98,237,0.414,0.46,59,75,0.787,24,95,119,121,34,3,46,67,336
2001,Mike Miller,SF,20,ORL,4,4,112,19,48,0.396,7,18,0.389,12,30,0.4,0.469,3,4,0.75,5,13,18,7,0,3,3,13,48
2001,Reggie Miller*,SG,35,IND,4,4,177,41,90,0.456,15,35,0.429,26,55,0.473,0.539,28,30,0.933,7,13,20,10,3,2,11,3,125
2001,Sam Mitchell,SF,37,MIN,4,0,50,2,10,0.2,0,1,0,2,9,0.222,0.2,2,2,1,1,6,7,3,1,0,1,5,6
2001,Eric Montross,C,29,TOR,5,0,31,2,5,0.4,0,0,,2,5,0.4,0.4,0,0,,5,5,10,1,0,3,2,6,4
2001,Alonzo Mourning*,C,30,MIA,3,3,91,12,25,0.48,0,0,,12,25,0.48,0.48,11,19,0.579,3,13,16,3,0,5,5,9,35
2001,Tracy Murray,SF,29,TOR,2,0,5,1,3,0.333,0,2,0,1,1,1,0.333,0,0,,0,0,0,0,1,0,2,1,2
2001,Dikembe Mutombo*,C,34,PHI,23,23,981,102,208,0.49,0,1,0,102,207,0.493,0.49,115,148,0.777,113,203,316,17,15,72,36,56,319
2001,Eduardo Najera,PF,24,DAL,7,0,44,9,17,0.529,3,4,0.75,6,13,0.462,0.618,0,0,,7,8,15,1,1,1,1,8,21
2001,Steve Nash*,PG,26,DAL,10,10,370,45,108,0.417,16,39,0.41,29,69,0.42,0.491,30,34,0.882,6,26,32,64,6,1,25,19,136
2001,Rasho Nesterovic,C,24,MIN,4,2,49,5,13,0.385,0,0,,5,13,0.385,0.385,0,0,,5,7,12,3,1,3,3,9,10
2001,Dirk Nowitzki,PF,22,DAL,10,10,399,69,163,0.423,13,46,0.283,56,117,0.479,0.463,83,94,0.883,14,67,81,14,11,8,14,37,234
2001,Jermaine O'Neal,C,22,IND,4,4,157,17,39,0.436,0,1,0,17,38,0.447,0.436,5,10,0.5,12,38,50,7,0,10,7,13,39
2001,Shaquille O'Neal*,C,28,LAL,16,16,676,191,344,0.555,0,0,,191,344,0.555,0.555,105,200,0.525,91,156,247,51,7,38,57,55,487
2001,Charles Oakley,PF,37,TOR,12,12,391,47,108,0.435,3,8,0.375,44,100,0.44,0.449,14,17,0.824,20,56,76,21,12,7,22,29,111
2001,Kevin Ollie,PG,28,PHI,23,0,123,10,27,0.37,0,0,,10,27,0.37,0.37,13,14,0.929,2,7,9,23,0,0,8,12,33
2001,Greg Ostertag,C,27,UTA,5,0,64,4,11,0.364,0,0,,4,11,0.364,0.364,0,4,0,6,12,18,1,0,2,2,10,8
2001,Bo Outlaw,PF,29,ORL,4,4,134,16,26,0.615,0,0,,16,26,0.615,0.615,2,11,0.182,11,31,42,9,5,6,9,15,34
2001,Anthony Peeler,SG,31,MIN,4,4,137,14,53,0.264,6,17,0.353,8,36,0.222,0.321,0,0,,3,11,14,7,7,1,6,10,34
